# request_rate client_count num_iteration input_length output_length
3 5  10 2048 256
3 5  20 2048 256
3 5  30 2048 256
3 5  40 2048 256
3 5  50 2048 256
3 5  60 2048 256
5 10 10 2048 256
5 10 20 2048 256
5 10 30 2048 256
5 10 40 2048 256
5 10 50 2048 256
5 10 60 2048 256
5 10 70 2048 256
5 10 80 2048 256

3 5  10 2048 512
3 5  20 2048 512
3 5  30 2048 512
3 5  40 2048 512
3 5  50 2048 512
3 5  60 2048 512
5 10 10 2048 512
5 10 20 2048 512
5 10 30 2048 512
5 10 40 2048 512
5 10 50 2048 512
5 10 60 2048 512
5 10 70 2048 512
5 10 80 2048 512
